Experiment,Symbol,Type (M/F),Band#,Male Length,Female Length,Length Diff,Nymphs
Live bird Assay,Triangle,Feral/Runt,5353,2189.741,2719.62,-529.879,0
Live bird Assay,Triangle,Feral/Runt,5202,2154.269,2715.081,-560.812,0
Live bird Assay,Triangle,Feral/Runt,5301,2275.421,2649.236,-373.815,0
Live bird Assay,Square,Runt/Feral,5318,2371.796,2465.247,-93.451,0
Live bird Assay,Square,Runt/Feral,5340,2298.11,2600.176,-302.066,0
Live bird Assay,Circle,Feral/Feral,5352,2262.278,2564.264,-301.986,0
Live bird Assay,Square,Runt/Feral,5120,2179.355,2619.704,-440.349,0
Live bird Assay,Triangle,Feral/Runt,5137,2306.176,2642.673,-336.497,1
Live bird Assay,Square,Runt/Feral,5355,2229.128,2703.706,-474.578,0
Live bird Assay,Triangle,Feral/Runt,5365,2218.34,2705.392,-487.052,1
Live bird Assay,Circle,Feral/Feral,5347,2157.458,2603.771,-446.313,0
Live bird Assay,Square,Runt/Feral,5160,2362.48,2552.391,-189.911,0
Live bird Assay,Triangle,Feral/Runt,5216,2322.02,2690.368,-368.348,2
Live bird Assay,Circle,Feral/Feral,5354,2280.965,2559.012,-278.047,0
Live bird Assay,Triangle,Feral/Runt,5371,2219.766,2586.888,-367.122,3
Live bird Assay,Circle,Feral/Feral,5329,2280.585,2577.05,-296.465,4
Live bird Assay,Square,Runt/Feral,5348,2317.88,2441.502,-123.622,0
Live bird Assay,Circle,Feral/Feral,5369,2312.409,2728.249,-415.84,1
Live bird Assay,Circle,Feral/Feral,5345,2220.265,2631.48,-411.215,4
Live bird Assay,Triangle,Feral/Runt,5416,2114.268,2828.018,-713.75,0
Live bird Assay,Triangle,Feral/Runt,5303,2179.359,2714.335,-534.976,0
Live bird Assay,Square,Runt/Feral,5343,2196.029,2458.221,-262.192,0
Live bird Assay,Triangle,Feral/Runt,5319,2242.887,2510.833,-267.946,0
Live bird Assay,Square,Runt/Feral,4236,2307.552,2649.741,-342.189,0
Live bird Assay,Triangle,Feral/Runt,4257,2047.291,2770.14,-722.849,0
Live bird Assay,Triangle,Feral/Runt,5373,2189.039,2738.977,-549.938,0
Live bird Assay,Square,Runt/Feral,5357,2247.875,2456.801,-208.926,0
Live bird Assay,Circle,Feral/Feral,5368,2190.581,2567.182,-376.601,0
Live bird Assay,Square,Runt/Feral,5331,2212.674,2425.581,-212.907,1
Live bird Assay,Square,Runt/Feral,5330,2196.809,2615.119,-418.31,1
Live bird Assay,Circle,Feral/Feral,5342,2193.503,2538.852,-345.349,5
Live bird Assay,Circle,Feral/Feral,5372,2315.34,2733.062,-417.722,0
Live bird Assay,Circle,Feral/Feral,5359,2158.968,2495.37,-336.402,0
Live bird Assay,Square,Runt/Feral,5366,2202.327,2582.544,-380.217,3
Live bird Assay,Circle,Feral/Feral,2599,2270.727,2682.402,-411.675,2
Live bird Assay,Circle,Feral/Feral,5370,2210.82,2544.993,-334.173,3