data,travel.time,prey
Prediction,0,3
Prediction,6,3
Prediction,8,4
Prediction,22,4
Prediction,24,5
Prediction,70,5
Prediction,72,6
Prediction,100,6
Experiment,7.883,3.181
Experiment,8.546,3.52
Experiment,8.771,3.678
Experiment,3.921,3.7
Experiment,4.373,4.028
Experiment,7.53,3.953
Experiment,11.339,4.08
Experiment,18.09,4.079
Experiment,8.847,4.514
Experiment,32.086,4.871
Experiment,44.946,4.774
Experiment,47.701,4.901
Experiment,44.556,5.123
Experiment,38.872,5.261
Experiment,44.161,5.419
Experiment,51.953,5.27
Experiment,54.936,5.587
Experiment,66.336,5.671
Experiment,73.285,5.533
Experiment,87.659,5.838
Experiment,88.932,5.922
Experiment,99.29,6.143