education,country,prevalence
No formal education,Gabon (adults),0.376384365
No formal education,Inuit,1.320521173
No formal education,Nepal,2.838273616
No formal education,Rural India,6.076384365
Limited formal education,Urban India,9.506677524
Limited formal education,Durban,10.25895765
Modern western education,Chile,17.51335505
Modern western education,Sydney,17.69234528
Modern western education,Northern Ireland,18.44543974
Modern western education,Poland,32.00912052
Modern East Asian education,Shunyi,45.76400651
Modern East Asian education,Guangzhou,83.80162866
Modern East Asian education,Beijing,80.53925081
Modern East Asian education,Shandong,84.3514658
Modern East Asian education,Taiwan,80.897557
Modern East Asian education,Singapore,81.26840391
Modern East Asian education,Seoul,96.5529316