ID,lump.taxon,split.taxon,grade,group,ecv1,age,,,,,,,,,,,,,,,,,,,,
AL 162-28,Au. afarensis,Au. afarensis,archaic,Archaic,392.4999999,3.22,,,,,,,,,,,,,,,,,,,,
AL 288-1,Au. afarensis,Au. afarensis,archaic,Archaic,387.5000001,3.075,,,,,,,,,,,,,,,,,,,,
AL 333-105,Au. afarensis,Au. afarensis,archaic,Archaic,399.9999997,3.22,,,,,,,,,,,,,,,,,,,,
AL 333-45,Au. afarensis,Au. afarensis,archaic,Archaic,485.0000004,3.22,,,,,,,,,,,,,,,,,,,,
AL 444-2,Au. afarensis,Au. afarensis,archaic,Archaic,549.9999994,3.075,,,,,,,,,,,,,,,,,,,,
AL 822-1,Au. afarensis,Au. afarensis,archaic,Archaic,385.0000004,3.1,,,,,,,,,,,,,,,,,,,,
MH1,Au. sediba,Au. sediba,archaic,Archaic,419.9999996,1.977,,,,,,,,,,,,,,,,,,,,
MLD 1,Au. africanus,Au. africanus,archaic,Archaic,509.9999999,2.715,,,,,,,,,,,,,,,,,,,,
MLD 37/38,Au. africanus,Au. africanus,archaic,Archaic,435,2.58,,,,,,,,,,,,,,,,,,,,
Sts 19/58,Au. africanus,Au. africanus,archaic,Archaic,435.9999997,2.3,,,,,,,,,,,,,,,,,,,,
Sts 5,Au. africanus,Au. africanus,archaic,Archaic,485.0000004,2.01,,,,,,,,,,,,,,,,,,,,
Sts 60,Au. africanus,Au. africanus,archaic,Archaic,399.9999997,2.3,,,,,,,,,,,,,,,,,,,,
Sts 71,Au. africanus,Au. africanus,archaic,Archaic,428,2.3,,,,,,,,,,,,,,,,,,,,
Stw 505,Au. africanus,Au. africanus,archaic,Archaic,554.9999998,2.3,,,,,,,,,,,,,,,,,,,,
Taung-1,Au. africanus,Au. africanus,archaic,Archaic,439.9999995,2.805,,,,,,,,,,,,,,,,,,,,
Type 2,Au. africanus,Au. africanus,archaic,Archaic,456.9999999,2.3,,,,,,,,,,,,,,,,,,,,
BOU-VP-12/130,Au. garhi,Au. garhi,mega,Hyper-megadont,450.0000002,2.473,,,,,,,,,,,,,,,,,,,,
KGA-10-525,P. boisei,P. boisei,mega,Hyper-megadont,544.9999997,1.42,,,,,,,,,,,,,,,,,,,,
KNM-ER 13750,P. boisei,P. boisei,mega,Hyper-megadont,479.9999996,1.88,,,,,,,,,,,,,,,,,,,,
KNM-ER 23000,P. aethiopicus,P. aethiopicus,mega,Hyper-megadont,490.9999999,1.784,,,,,,,,,,,,,,,,,,,,
KNM-ER 406,P. boisei,P. boisei,mega,Hyper-megadont,499.9999996,1.63,,,,,,,,,,,,,,,,,,,,
KNM-ER 407,P. boisei,P. boisei,mega,Hyper-megadont,509.9999999,1.85,,,,,,,,,,,,,,,,,,,,
KNM-ER 732,P. boisei,P. boisei,mega,Hyper-megadont,499.9999996,1.63,,,,,,,,,,,,,,,,,,,,
KNM-WT 17000,P. aethiopicus,P. aethiopicus,mega,Hyper-megadont,410.0000003,2.526,,,,,,,,,,,,,,,,,,,,
KNM-WT 17400,P. boisei,P. boisei,mega,Hyper-megadont,399.9999997,1.77,,,,,,,,,,,,,,,,,,,,
OH 5,P. boisei,P. boisei,mega,Hyper-megadont,522.5000003,1.8435,,,,,,,,,,,,,,,,,,,,
Omo 323-1976-896,P. boisei,P. boisei,mega,Hyper-megadont,490,2.2,,,,,,,,,,,,,,,,,,,,
Omo L.338y-6,P. aethiopicus,P. aethiopicus,mega,Hyper-megadont,427,2.35,,,,,,,,,,,,,,,,,,,,
SK 1585,P. robustus,P. robustus,mega,Hyper-megadont,530.0000005,1.98,,,,,,,,,,,,,,,,,,,,
SK 46,P. robustus,P. robustus,mega,Hyper-megadont,800,1.98,,,,,,,,,,,,,,,,,,,,
SK 48,P. robustus,P. robustus,mega,Hyper-megadont,749.9999993,1.98,,,,,,,,,,,,,,,,,,,,
SK 54,P. robustus,P. robustus,mega,Hyper-megadont,499.9999996,1.98,,,,,,,,,,,,,,,,,,,,
SK 859,P. robustus,P. robustus,mega,Hyper-megadont,465.0000001,1.98,,,,,,,,,,,,,,,,,,,,
TM 1517,P. robustus,P. robustus,mega,Hyper-megadont,650.0000005,1.9,,,,,,,,,,,,,,,,,,,,
Atapuerca 5,H. heidelbergensis,H. heidelbergensis,pre.mod,Premodern,1125,0.5975,,,,,,,,,,,,,,,,,,,,
Atapuerca 4,H. heidelbergensis,H. heidelbergensis,pre.mod,Premodern,1390,0.5975,,,,,,,,,,,,,,,,,,,,
Bodo 1,H. heidelbergensis,H. heidelbergensis,pre.mod,Premodern,1205,0.595,,,,,,,,,,,,,,,,,,,,
BOU-VP-2/66,H. erectus,H. erectus,pre.mod,Premodern,995.0000006,0.921,,,,,,,,,,,,,,,,,,,,
Bukuran,H. erectus,H. erectus,pre.mod,Premodern,916.0000007,1.15,,,,,,,,,,,,,,,,,,,,
Ceprano 1,H. heidelbergensis,H. heidelbergensis,pre.mod,Premodern,1056.999999,0.475,,,,,,,,,,,,,,,,,,,,
D2280,H. erectus,H. georgicus,pre.mod,Premodern,775.0000009,1.765,,,,,,,,,,,,,,,,,,,,
D2282,H. erectus,H. georgicus,pre.mod,Premodern,650.0000005,1.765,,,,,,,,,,,,,,,,,,,,
D2700,H. erectus,H. georgicus,pre.mod,Premodern,599.9999995,1.765,,,,,,,,,,,,,,,,,,,,
D3444,H. erectus,H. georgicus,pre.mod,Premodern,650.0000005,1.765,,,,,,,,,,,,,,,,,,,,
D4500,H. erectus,H. georgicus,pre.mod,Premodern,546.0000004,1.765,,,,,,,,,,,,,,,,,,,,
Hexian 1,H. erectus,H. erectus,pre.mod,Premodern,1024.999999,0.412,,,,,,,,,,,,,,,,,,,,
KNM-ER 3732,H. erectus,H. ergaster,pre.mod,Premodern,775.0000009,1.9065,,,,,,,,,,,,,,,,,,,,
KNM-ER 3733,H. erectus,H. ergaster,pre.mod,Premodern,847.9999995,1.63,,,,,,,,,,,,,,,,,,,,
KNM-ER 3883,H. erectus,H. ergaster,pre.mod,Premodern,804.0000005,1.57,,,,,,,,,,,,,,,,,,,,
KNM-ER 42700,H. erectus,H. erectus,pre.mod,Premodern,690.9999994,1.567,,,,,,,,,,,,,,,,,,,,
KNM-OL 45500,H. erectus,H. ergaster,pre.mod,Premodern,715.0000003,0.882,,,,,,,,,,,,,,,,,,,,
KNM-WT 15000,H. erectus,H. ergaster,pre.mod,Premodern,908.9999995,1.555,,,,,,,,,,,,,,,,,,,,
Lantian,H. erectus,H. erectus,pre.mod,Premodern,780.0000006,1.135,,,,,,,,,,,,,,,,,,,,
Mojokerto 1,H. erectus,H. erectus,pre.mod,Premodern,800,1.62,,,,,,,,,,,,,,,,,,,,
Nanjing 1,H. erectus,H. erectus,pre.mod,Premodern,875.9999997,0.621,,,,,,,,,,,,,,,,,,,,
Ndutu,H. heidelbergensis,H. heidelbergensis,pre.mod,Premodern,1098,0.68,,,,,,,,,,,,,,,,,,,,
Ngandong I,H. erectus,H. erectus,pre.mod,Premodern,1172.000001,0.3445,,,,,,,,,,,,,,,,,,,,
Ngandong IX,H. erectus,H. erectus,pre.mod,Premodern,1135.000001,0.3445,,,,,,,,,,,,,,,,,,,,
Ngandong V,H. erectus,H. erectus,pre.mod,Premodern,1250,0.3445,,,,,,,,,,,,,,,,,,,,
Ngandong VI,H. erectus,H. erectus,pre.mod,Premodern,1012.999999,0.3445,,,,,,,,,,,,,,,,,,,,
Ngandong VII,H. erectus,H. erectus,pre.mod,Premodern,1028.000001,0.3445,,,,,,,,,,,,,,,,,,,,
Ngandong X,H. erectus,H. erectus,pre.mod,Premodern,1231,0.3445,,,,,,,,,,,,,,,,,,,,
Ngandong XI,H. erectus,H. erectus,pre.mod,Premodern,1090,0.3445,,,,,,,,,,,,,,,,,,,,
Ngandong XII,H. erectus,H. erectus,pre.mod,Premodern,1145.000001,0.3445,,,,,,,,,,,,,,,,,,,,
OH 12,H. erectus,H. erectus,pre.mod,Premodern,727.0000002,0.965,,,,,,,,,,,,,,,,,,,,
OH 9,H. erectus,H. erectus,pre.mod,Premodern,1066.999999,1.4765,,,,,,,,,,,,,,,,,,,,
Saldanha 1,H. heidelbergensis,H. heidelbergensis,pre.mod,Premodern,1225.000001,0.35,,,,,,,,,,,,,,,,,,,,
Sangiran 10,H. erectus,H. erectus,pre.mod,Premodern,855.0000005,1.035,,,,,,,,,,,,,,,,,,,,
Sangiran 12,H. erectus,H. erectus,pre.mod,Premodern,1059,0.935,,,,,,,,,,,,,,,,,,,,
Sangiran 17,H. erectus,H. erectus,pre.mod,Premodern,1004,0.91,,,,,,,,,,,,,,,,,,,,
Sangiran 2,H. erectus,H. erectus,pre.mod,Premodern,813.0000008,1,,,,,,,,,,,,,,,,,,,,
Sangiran 3,H. erectus,H. erectus,pre.mod,Premodern,975.0000007,0.91,,,,,,,,,,,,,,,,,,,,
Sangiran 31,H. erectus,H. erectus,pre.mod,Premodern,700,1.7,,,,,,,,,,,,,,,,,,,,
Sangiran 4,H. erectus,H. erectus,pre.mod,Premodern,908.000001,1.7,,,,,,,,,,,,,,,,,,,,
Sangiran 38,H. erectus,H. erectus,pre.mod,Premodern,875,1.525,,,,,,,,,,,,,,,,,,,,
Tjg-1993.05,H. erectus,H. erectus,pre.mod,Premodern,870.0000008,1.15,,,,,,,,,,,,,,,,,,,,
Trinil 2,H. erectus,H. erectus,pre.mod,Premodern,940.0000009,1.535,,,,,,,,,,,,,,,,,,,,
UA 31,H. erectus,H. erectus,pre.mod,Premodern,995,0.992,,,,,,,,,,,,,,,,,,,,
Yunxian,H. erectus,H. erectus,pre.mod,Premodern,1149.999999,0.7255,,,,,,,,,,,,,,,,,,,,
Zhoukoudian II,H. erectus,H. erectus,pre.mod,Premodern,1030.000001,0.627,,,,,,,,,,,,,,,,,,,,
Zhoukoudian III,H. erectus,H. erectus,pre.mod,Premodern,914.9999999,0.627,,,,,,,,,,,,,,,,,,,,
Zhoukoudian V,H. erectus,H. erectus,pre.mod,Premodern,1299.999999,0.3725,,,,,,,,,,,,,,,,,,,,
Zhoukoudian VI,H. erectus,H. erectus,pre.mod,Premodern,850.0000006,0.6015,,,,,,,,,,,,,,,,,,,,
Zhoukoudian X,H. erectus,H. erectus,pre.mod,Premodern,1225.000001,0.6015,,,,,,,,,,,,,,,,,,,,
Zhoukoudian XI,H. erectus,H. erectus,pre.mod,Premodern,1014.999999,0.6015,,,,,,,,,,,,,,,,,,,,
Zhoukoudian XII,H. erectus,H. erectus,pre.mod,Premodern,1030.000001,0.6015,,,,,,,,,,,,,,,,,,,,
KNM-ER 1470,H. habilis,H. rudolfensis,trans,Transitional,752.4999995,1.959,,,,,,,,,,,,,,,,,,,,
KNM-ER 1590,H. habilis,H. rudolfensis,trans,Transitional,825.0000009,1.825,,,,,,,,,,,,,,,,,,,,
KNM-ER 1805,H. habilis,H. habilis,trans,Transitional,582.0000005,1.725,,,,,,,,,,,,,,,,,,,,
KNM-ER 1813,H. habilis,H. habilis,trans,Transitional,508.9999996,1.725,,,,,,,,,,,,,,,,,,,,
OH 13,H. habilis,H. habilis,trans,Transitional,650.0000005,1.4765,,,,,,,,,,,,,,,,,,,,
OH 16,H. habilis,H. habilis,trans,Transitional,638.0000004,1.4765,,,,,,,,,,,,,,,,,,,,
OH 24,H. habilis,H. habilis,trans,Transitional,590.0000005,1.943,,,,,,,,,,,,,,,,,,,,
OH 7,H. habilis,H. habilis,trans,Transitional,686.9999999,1.8435,,,,,,,,,,,,,,,,,,,,