treatment,days,body.condition
Short-tailed,4,0.179
Short-tailed,22,0.11
Short-tailed,18,0.07
Short-tailed,28,0.11
Short-tailed,26,0.186
Short-tailed,34,0.169
Short-tailed,33,0.061
Short-tailed,31,0.026
Short-tailed,32,0.008
Short-tailed,39,0.086
Short-tailed,45,0.087
Short-tailed,44,0.11
Short-tailed,53,0.081
Short-tailed,53,0.038
Short-tailed,48,0.01
Short-tailed,45,-0.039
Short-tailed,56,-0.032
Short-tailed,63,0.015
Short-tailed,72,0.014
Short-tailed,65,0.072
Short-tailed,67,0.109
Short-tailed,81,0.119
Short-tailed,79,0.059
Short-tailed,75,0.05
Short-tailed,97,0.017
Short-tailed,74,-0.057
Short-tailed,83,-0.049
Short-tailed,85,-0.099
Short-tailed,73,-0.11
Control,2,0.169
Control,3,0.119
Control,7,0.11
Control,19,0.053
Control,22,0.089
Control,32,0.115
Control,41,0.102
Control,25,0.049
Control,25,0.014
Control,29,0.02
Control,33,0.02
Control,35,0.03
Control,34,0.002
Control,24,-0.033
Control,39,0.001
Control,43,0.03
Control,44,0.005
Control,47,-0.005
Control,58,-0.027
Control,55,-0.058
Control,51,-0.068
Control,46,-0.058
Control,45,-0.092
Control,52,-0.097
Control,63,-0.142
Control,64,-0.099
Control,68,-0.092
Control,76,-0.039
Control,75,-0.096
Control,74,-0.111
Control,69,-0.117
Control,67,-0.169
Control,87,-0.14
Control,78,-0.14
Control,88,-0.17
Control,87,-0.189