dam,sire,group,location,offspring,proportion
NB,Northern blue,Blue,"Allopatric, blue",4,1
NB,Southern blue,Blue,"Allopatric, blue",0,0
SB,Northern blue,Blue,"Allopatric, blue",0,0
SB,Southern blue,Blue,"Allopatric, blue",5,1
NO,Nothern orange,Orange,"Allopatric, orange",6,1
NO,Southern orange,Orange,"Allopatric, orange",0,0
SO,Nothern orange,Orange,"Allopatric, orange",2,0.285714286
SO,Southern orange,North,"Allopatric, orange",5,0.714285714
SB,Southern blue,South,"Sympatric, south",2,0.5
SB,Southern orange,South,"Sympatric, south",2,0.5
SO,Southern blue,South,"Sympatric, south",0,0
SO,Southern orange,South,"Sympatric, south",4,1
NB,Northern blue,North,"Sympatric, north",4,1
NB,Nothern orange,North,"Sympatric, north",0,0
NO,Northern blue,North,"Sympatric, north",2,0.285714286
NO,Nothern orange,North,"Sympatric, north",5,0.714285714